Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc,ConnectRunner,5,0,6,3,62,8,0,0,0.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,AbstractOracleIT,3,1,3,0,33,3,2,0,0.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,VerifyInsertIT,6,0,11,5,97,14,0,1,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,VerifyDeleteIT,5,0,12,6,135,22,0,1,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,PartitionedTableIntegrationTest,6,0,5,0,52,8,0,1,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,UnqualifiedTableNamesIntegrationTest,8,0,11,4,100,13,0,1,0.18181818181818182,1,2
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,VerifyInsertIT,6,0,11,5,97,14,0,1,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,AbstractPostgresIT,3,1,3,0,32,3,4,0,0.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,VerifyDeleteIT,5,0,12,6,135,22,0,1,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.config,JdbcConfig,22,6,13,7,63,13,0,0,0.15384615384615385,42,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.config,DatabaseDialectRecommender,2,1,4,4,23,5,0,0,0.5,2,1
