Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBoolean,4,1,0,73,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testSmallInt,3,1,0,79,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableSmallInt,4,1,0,84,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testInt,3,1,0,90,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableInt,4,1,0,95,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBigInt,3,1,0,101,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBigInt,4,1,0,106,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testReal,3,1,0,112,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableReal,4,1,0,117,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDouble,3,1,0,123,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDouble,4,1,0,128,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testChar,3,1,0,134,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableChar,4,1,0,140,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testVarChar,3,1,0,147,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableVarChar,4,1,0,153,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBlob,3,1,0,160,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBlob,4,1,0,168,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testClob,3,1,0,175,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableClob,4,1,0,182,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBinary,3,1,0,188,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBinary,4,1,0,194,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNumeric,6,1,0,201,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDecimal,3,1,0,217,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDecimal,4,1,0,224,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDate,5,1,0,234,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDate,6,1,0,243,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTime,5,1,0,255,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTime,6,1,0,264,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,5,1,0,276,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,6,1,0,285,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,typeConversion,14,3,5,300,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,validateRecords,19,2,3,318,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateEmptyConfig,3,1,0,37,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateTablesAndQueryMandatoryConfigPresent,8,1,0,42,1,,
